Nombre,Altura_(m),Peso_(kg),Edad
Lionel Messi,1.70,68.04,36
Cristiano Ronaldo,1.87,83.01,39
Ilia Topuria,1.70,65.77,27
Anuel AA,1.76,68.95,31
Conor McGregor,1.75,77.11,36
Lamine Yamal,1.75,64.86,16
Robert Lewandowski,1.85,79.83,35
Leonardo DiCaprio,1.83,74.84,49
Kanye West,1.73,73.94,47
Carlos Montoya,1.73,72.5,20
